"Victorian Porcelain Collector Doll","1990s • Green Velvet & Lace",29.99,Excellent,"No damage, all original clothing",RG-0008,https://richmondgeneral.github.io/items/RG-0008/
"Goebel Hummel Figural Wine Goblet Set (9pc)","1960s-70s • West Germany • 14K Gold Trim",89.99,Excellent,"No chips, cracks, or gold wear",RG-0010,https://richmondgeneral.github.io/items/RG-0010/
"The Settlement Cook Book","2nd Edition • Yellow Cover • Red Heart",14.99,Good,"No dust jacket",RG-0011,https://richmondgeneral.github.io/items/RG-0011/
"Hallmark Keepsake Lionel GG-1 Ornament","1998 • #3 Lionel Train Series • Die-Cast",19.99,New,"NIB - minor box wear",RG-0012,https://richmondgeneral.github.io/items/RG-0012/
"The Story of Flight - Step-Up Books","1967 • Random House • George Evans",12.99,Good,"Tight binding, typical vintage wear",RG-0013,https://richmondgeneral.github.io/items/RG-0013/
"1969 Chicago Cubs Cub Power LP Record","1969 • Quill Records • Playable",24.99,Good,"Cover shows normal age wear",RG-0014,https://richmondgeneral.github.io/items/RG-0014/
